Mcbar-16	Mcbar-16_S1
Mcbar-16-4	Mcbar-16-4x_S15
Mcbar-21	Mcbar-21_S2
Mcbar-21-2	Mcbar-21-janx_S19
Mcbar-21-3	Mcbar-21-majx_S8
Mcbar-61	Mcbar-61_S3
Mcbar-82	Mcbar-82_S4
Mcbar-91	Mcbar-91_S5
Mcbar-104	Mcbar-104_S6
Mcbar-108	Mcbar-108_S7
Mcbar-113	Mcbar-113_S9
Mcbar-119	Mcbar-119_S10
Mcbar-122	Mcbar-122_S11
Mcbar-122-2	Mcbar-122x_S22
Mcbar-125	Mcbar-125x_S2
Mcbar-130	Mcbar-130_S13
Mcbar-131	Mcbar-131_S14
Mcbar-158	Mcbar-158_S15
Mcbar-175	Mcbar-175_S16
Mcbar-178	Mcbar-178_S17
Mcbar-200	Mcbar-200_S18
Mcbar-234	Mcbar-234om_S28
Mcbar-244	Mcbar-244_S21
Mcbar-276	Mcbar-276_S23
Mcbar-249	Mcbar-249_S22
Mcbar-280	Mcbar-280_S24
Mcbar-333	Mcbar-333_S25
Mcbar-367	Mcbar-367_S26
Mcbar-369	Mcbar-369_S27
Mcbar-390	Mcbar-390_S28
Mcbar-396	Mcbar-396_S29
Mcbar-406	Mcbar-406_S30
Mcbar-407	Mcbar-407_S31
Mcbar-419	Mcbar-419_S32
Mcbar-421	Mcbar-421_S33
Mcbar-427	Mcbar-427_S34
McBar-456	Mcbar-456_S35
Mcbar-456-2	McBar-456_S6
Mcbar-457	Mcbar-457_S36
Mcbar-459	Mcbar-459_S37
Mcbar-459-3	Mcbar-NGS-459-3_S9
Mcbar-462	Mcbar-462_S38
Mcbar-466	Mcbar-466_S39
Mcbar-474	Mcbar-474_S40
Mcbar-476	Mcbar-476_S41
Mcbar-489	Mcbar-489_S42
Mcbar-490	Mcbar-490_S43
Mcbar-513	Mcbar-513_S44
Mcbar-514	Mcbar-514_S45
Mcbar-516	Mcbar-516_S46
Mcbar-531	Mcbar-531_S47
Mcbar-536	Mcbar-536_S48
MCbar-549	MCbar-549_S1
MCbar-551	MCbar-551_S7
MCbar-554	MCbar-554_S13
MCbar-586	MCbar-586_S19
Mcbar-589-4	Mcbar-NGS-589_S8
MCbar-618	MCbar-618_S25
MCbar-621	MCbar-621_S31
MCbar-622	MCbar-622_S37
Mcbar-633	Mcbar-633_S10
MCbar-634	MCbar-634_S43
MCbar-640	MCbar-640_S2
MCbar-643	MCbar-643_S8
MCbar-644	MCbar-644_S14
MCbar-646	MCbar-646_S32
MCbar-663	MCbar-663_S20
MCbar-664	MCbar-664_S26
MCbar-671	MCbar-671_S38
MCbar-674	MCbar-674_S44
MCbar-697	MCbar-697_S3
MCbar-735	MCbar-735_S9
MCbar-778	MCbar-778_S15
Mcbar-791	MCbar-791_S21
Mcbar-791-2	Mcbar-791x_S5
